Origen de Publicación;Autor;Autor y Afiliación;Título Publicación;Revista;Año Publicación;ISBN;CODIGO WOS;NOTAS;TIPO DE DOCUMENTO;DOI;AFD;INSTITUCIÓN
Journal Article;Maldonado, F.;"[Paz Saldias, Maria; Fernandez, Christian; Morgan, Alejandra; Diaz, Catalina; Morales, Diego; Gomez, Alvaro; Silva, Alonso; Briceno, Fernanda; Cerda, Oscar; Caceres, Monica] Univ Chile, Inst Biomed Sci, Program Mol & Cell Biol, Fac Med, Santiago, Chile. [Jana, Fabian] Univ Aysen, Coyhaique, Chile. [Oyarzun, Alejandro] Univ Finis Terrae, Fac Dent, Santiago, Chile. [Maldonado, Felipe] Univ Chile, Hosp Clin, Dept Anesthesia, Fac Med, Santiago, Chile. [Cerda, Oscar; Caceres, Monica] Millennium Nucleus Ion Channels Associated Dis Mi, Santiago, Chile. [Smith, Patricio C.] Pontificia Univ Catolica Chile, Sch Dent, Fac Med, Santiago, Chile.
Caceres, M (reprint author), Univ Chile, Inst Biomed Sci, Program Mol & Cell Biol, Fac Med, Santiago, Chile.; Caceres, M (reprint author), Millennium Nucleus Ion Channels Associated Dis Mi, Santiago, Chile.
monicacaceres@med.uchile.cl";Aged blood factors decrease cellular responses associated with delayed gingival wound repair;Plos One;2017;1932-6203;WOS:000410449500016;"ISI Document Delivery No.: FG6AR
Times Cited: 0
Cited Reference Count: 33
Paz Saldias, Maria Fernandez, Christian Morgan, Alejandra Diaz, Catalina Morales, Diego Jana, Fabian Gomez, Alvaro Silva, Alonso Briceno, Fernanda Oyarzun, Alejandro Maldonado, Felipe Cerda, Oscar Smith, Patricio C. Caceres, Monica
National Fund for Science and Technology (Fondecyt) Grant [11140064]; Universidad de Chile [UINICIA 44051]; Fondecyt Grant [1160518]
This work was supported by National Fund for Science and Technology (Fondecyt) Grant 11140064 (MC), UINICIA 44051 Grant from Universidad de Chile (MC) and Fondecyt Grant 1160518 (OC).; The present study was funded by a grant from the National Fund for Science and Technology (Fondecyt) Grant 11140064 (MC), Grant from Universidad de Chile UINICIA 44051 (MC) and Fondecyt Grant 1160518 (OC). The authors have stated explicitly that there are no conflicts of interest in connection with this article.
Public library science
San francisco";Article;"e0184189
10.1371/journal.pone.0184189";2017;UAYSEN
Journal Article;Cerda, O.;"[Paz Saldias, Maria; Fernandez, Christian; Morgan, Alejandra; Diaz, Catalina; Morales, Diego; Gomez, Alvaro; Silva, Alonso; Briceno, Fernanda; Cerda, Oscar; Caceres, Monica] Univ Chile, Inst Biomed Sci, Program Mol & Cell Biol, Fac Med, Santiago, Chile. [Jana, Fabian] Univ Aysen, Coyhaique, Chile. [Oyarzun, Alejandro] Univ Finis Terrae, Fac Dent, Santiago, Chile. [Maldonado, Felipe] Univ Chile, Hosp Clin, Dept Anesthesia, Fac Med, Santiago, Chile. [Cerda, Oscar; Caceres, Monica] Millennium Nucleus Ion Channels Associated Dis Mi, Santiago, Chile. [Smith, Patricio C.] Pontificia Univ Catolica Chile, Sch Dent, Fac Med, Santiago, Chile.
Caceres, M (reprint author), Univ Chile, Inst Biomed Sci, Program Mol & Cell Biol, Fac Med, Santiago, Chile.; Caceres, M (reprint author), Millennium Nucleus Ion Channels Associated Dis Mi, Santiago, Chile.
monicacaceres@med.uchile.cl";Aged blood factors decrease cellular responses associated with delayed gingival wound repair;Plos One;2017;1932-6203;WOS:000410449500016;"ISI Document Delivery No.: FG6AR
Times Cited: 0
Cited Reference Count: 33
Paz Saldias, Maria Fernandez, Christian Morgan, Alejandra Diaz, Catalina Morales, Diego Jana, Fabian Gomez, Alvaro Silva, Alonso Briceno, Fernanda Oyarzun, Alejandro Maldonado, Felipe Cerda, Oscar Smith, Patricio C. Caceres, Monica
National Fund for Science and Technology (Fondecyt) Grant [11140064]; Universidad de Chile [UINICIA 44051]; Fondecyt Grant [1160518]
This work was supported by National Fund for Science and Technology (Fondecyt) Grant 11140064 (MC), UINICIA 44051 Grant from Universidad de Chile (MC) and Fondecyt Grant 1160518 (OC).; The present study was funded by a grant from the National Fund for Science and Technology (Fondecyt) Grant 11140064 (MC), Grant from Universidad de Chile UINICIA 44051 (MC) and Fondecyt Grant 1160518 (OC). The authors have stated explicitly that there are no conflicts of interest in connection with this article.
Public library science
San francisco";Article;"e0184189
10.1371/journal.pone.0184189";2017;UAYSEN
Journal Article;Smith, P. C.;"[Paz Saldias, Maria; Fernandez, Christian; Morgan, Alejandra; Diaz, Catalina; Morales, Diego; Gomez, Alvaro; Silva, Alonso; Briceno, Fernanda; Cerda, Oscar; Caceres, Monica] Univ Chile, Inst Biomed Sci, Program Mol & Cell Biol, Fac Med, Santiago, Chile. [Jana, Fabian] Univ Aysen, Coyhaique, Chile. [Oyarzun, Alejandro] Univ Finis Terrae, Fac Dent, Santiago, Chile. [Maldonado, Felipe] Univ Chile, Hosp Clin, Dept Anesthesia, Fac Med, Santiago, Chile. [Cerda, Oscar; Caceres, Monica] Millennium Nucleus Ion Channels Associated Dis Mi, Santiago, Chile. [Smith, Patricio C.] Pontificia Univ Catolica Chile, Sch Dent, Fac Med, Santiago, Chile.
Caceres, M (reprint author), Univ Chile, Inst Biomed Sci, Program Mol & Cell Biol, Fac Med, Santiago, Chile.; Caceres, M (reprint author), Millennium Nucleus Ion Channels Associated Dis Mi, Santiago, Chile.
monicacaceres@med.uchile.cl";Aged blood factors decrease cellular responses associated with delayed gingival wound repair;Plos One;2017;1932-6203;WOS:000410449500016;"ISI Document Delivery No.: FG6AR
Times Cited: 0
Cited Reference Count: 33
Paz Saldias, Maria Fernandez, Christian Morgan, Alejandra Diaz, Catalina Morales, Diego Jana, Fabian Gomez, Alvaro Silva, Alonso Briceno, Fernanda Oyarzun, Alejandro Maldonado, Felipe Cerda, Oscar Smith, Patricio C. Caceres, Monica
National Fund for Science and Technology (Fondecyt) Grant [11140064]; Universidad de Chile [UINICIA 44051]; Fondecyt Grant [1160518]
This work was supported by National Fund for Science and Technology (Fondecyt) Grant 11140064 (MC), UINICIA 44051 Grant from Universidad de Chile (MC) and Fondecyt Grant 1160518 (OC).; The present study was funded by a grant from the National Fund for Science and Technology (Fondecyt) Grant 11140064 (MC), Grant from Universidad de Chile UINICIA 44051 (MC) and Fondecyt Grant 1160518 (OC). The authors have stated explicitly that there are no conflicts of interest in connection with this article.
Public library science
San francisco";Article;"e0184189
10.1371/journal.pone.0184189";2017;UAYSEN
Journal Article;Caceres, M.;"[Paz Saldias, Maria; Fernandez, Christian; Morgan, Alejandra; Diaz, Catalina; Morales, Diego; Gomez, Alvaro; Silva, Alonso; Briceno, Fernanda; Cerda, Oscar; Caceres, Monica] Univ Chile, Inst Biomed Sci, Program Mol & Cell Biol, Fac Med, Santiago, Chile. [Jana, Fabian] Univ Aysen, Coyhaique, Chile. [Oyarzun, Alejandro] Univ Finis Terrae, Fac Dent, Santiago, Chile. [Maldonado, Felipe] Univ Chile, Hosp Clin, Dept Anesthesia, Fac Med, Santiago, Chile. [Cerda, Oscar; Caceres, Monica] Millennium Nucleus Ion Channels Associated Dis Mi, Santiago, Chile. [Smith, Patricio C.] Pontificia Univ Catolica Chile, Sch Dent, Fac Med, Santiago, Chile.
Caceres, M (reprint author), Univ Chile, Inst Biomed Sci, Program Mol & Cell Biol, Fac Med, Santiago, Chile.; Caceres, M (reprint author), Millennium Nucleus Ion Channels Associated Dis Mi, Santiago, Chile.
monicacaceres@med.uchile.cl";Aged blood factors decrease cellular responses associated with delayed gingival wound repair;Plos One;2017;1932-6203;WOS:000410449500016;"ISI Document Delivery No.: FG6AR
Times Cited: 0
Cited Reference Count: 33
Paz Saldias, Maria Fernandez, Christian Morgan, Alejandra Diaz, Catalina Morales, Diego Jana, Fabian Gomez, Alvaro Silva, Alonso Briceno, Fernanda Oyarzun, Alejandro Maldonado, Felipe Cerda, Oscar Smith, Patricio C. Caceres, Monica
National Fund for Science and Technology (Fondecyt) Grant [11140064]; Universidad de Chile [UINICIA 44051]; Fondecyt Grant [1160518]
This work was supported by National Fund for Science and Technology (Fondecyt) Grant 11140064 (MC), UINICIA 44051 Grant from Universidad de Chile (MC) and Fondecyt Grant 1160518 (OC).; The present study was funded by a grant from the National Fund for Science and Technology (Fondecyt) Grant 11140064 (MC), Grant from Universidad de Chile UINICIA 44051 (MC) and Fondecyt Grant 1160518 (OC). The authors have stated explicitly that there are no conflicts of interest in connection with this article.
Public library science
San francisco";Article;"e0184189
10.1371/journal.pone.0184189";2017;UAYSEN
Journal Article;;"[Paz Saldias, Maria; Fernandez, Christian; Morgan, Alejandra; Diaz, Catalina; Morales, Diego; Gomez, Alvaro; Silva, Alonso; Briceno, Fernanda; Cerda, Oscar; Caceres, Monica] Univ Chile, Inst Biomed Sci, Program Mol & Cell Biol, Fac Med, Santiago, Chile. [Jana, Fabian] Univ Aysen, Coyhaique, Chile. [Oyarzun, Alejandro] Univ Finis Terrae, Fac Dent, Santiago, Chile. [Maldonado, Felipe] Univ Chile, Hosp Clin, Dept Anesthesia, Fac Med, Santiago, Chile. [Cerda, Oscar; Caceres, Monica] Millennium Nucleus Ion Channels Associated Dis Mi, Santiago, Chile. [Smith, Patricio C.] Pontificia Univ Catolica Chile, Sch Dent, Fac Med, Santiago, Chile.
Caceres, M (reprint author), Univ Chile, Inst Biomed Sci, Program Mol & Cell Biol, Fac Med, Santiago, Chile.; Caceres, M (reprint author), Millennium Nucleus Ion Channels Associated Dis Mi, Santiago, Chile.
monicacaceres@med.uchile.cl";Aged blood factors decrease cellular responses associated with delayed gingival wound repair;Plos One;2017;1932-6203;WOS:000410449500016;"ISI Document Delivery No.: FG6AR
Times Cited: 0
Cited Reference Count: 33
Paz Saldias, Maria Fernandez, Christian Morgan, Alejandra Diaz, Catalina Morales, Diego Jana, Fabian Gomez, Alvaro Silva, Alonso Briceno, Fernanda Oyarzun, Alejandro Maldonado, Felipe Cerda, Oscar Smith, Patricio C. Caceres, Monica
National Fund for Science and Technology (Fondecyt) Grant [11140064]; Universidad de Chile [UINICIA 44051]; Fondecyt Grant [1160518]
This work was supported by National Fund for Science and Technology (Fondecyt) Grant 11140064 (MC), UINICIA 44051 Grant from Universidad de Chile (MC) and Fondecyt Grant 1160518 (OC).; The present study was funded by a grant from the National Fund for Science and Technology (Fondecyt) Grant 11140064 (MC), Grant from Universidad de Chile UINICIA 44051 (MC) and Fondecyt Grant 1160518 (OC). The authors have stated explicitly that there are no conflicts of interest in connection with this article.
Public library science
San francisco";Article;"e0184189
10.1371/journal.pone.0184189";2017;UAYSEN
Journal Article;;"[Paz Saldias, Maria; Fernandez, Christian; Morgan, Alejandra; Diaz, Catalina; Morales, Diego; Gomez, Alvaro; Silva, Alonso; Briceno, Fernanda; Cerda, Oscar; Caceres, Monica] Univ Chile, Inst Biomed Sci, Program Mol & Cell Biol, Fac Med, Santiago, Chile. [Jana, Fabian] Univ Aysen, Coyhaique, Chile. [Oyarzun, Alejandro] Univ Finis Terrae, Fac Dent, Santiago, Chile. [Maldonado, Felipe] Univ Chile, Hosp Clin, Dept Anesthesia, Fac Med, Santiago, Chile. [Cerda, Oscar; Caceres, Monica] Millennium Nucleus Ion Channels Associated Dis Mi, Santiago, Chile. [Smith, Patricio C.] Pontificia Univ Catolica Chile, Sch Dent, Fac Med, Santiago, Chile.
Caceres, M (reprint author), Univ Chile, Inst Biomed Sci, Program Mol & Cell Biol, Fac Med, Santiago, Chile.; Caceres, M (reprint author), Millennium Nucleus Ion Channels Associated Dis Mi, Santiago, Chile.
monicacaceres@med.uchile.cl";Aged blood factors decrease cellular responses associated with delayed gingival wound repair;Plos One;2017;1932-6203;WOS:000410449500016;"ISI Document Delivery No.: FG6AR
Times Cited: 0
Cited Reference Count: 33
Paz Saldias, Maria Fernandez, Christian Morgan, Alejandra Diaz, Catalina Morales, Diego Jana, Fabian Gomez, Alvaro Silva, Alonso Briceno, Fernanda Oyarzun, Alejandro Maldonado, Felipe Cerda, Oscar Smith, Patricio C. Caceres, Monica
National Fund for Science and Technology (Fondecyt) Grant [11140064]; Universidad de Chile [UINICIA 44051]; Fondecyt Grant [1160518]
This work was supported by National Fund for Science and Technology (Fondecyt) Grant 11140064 (MC), UINICIA 44051 Grant from Universidad de Chile (MC) and Fondecyt Grant 1160518 (OC).; The present study was funded by a grant from the National Fund for Science and Technology (Fondecyt) Grant 11140064 (MC), Grant from Universidad de Chile UINICIA 44051 (MC) and Fondecyt Grant 1160518 (OC). The authors have stated explicitly that there are no conflicts of interest in connection with this article.
Public library science
San francisco";Article;"e0184189
10.1371/journal.pone.0184189";2017;UAYSEN
Journal Article;;"[Paz Saldias, Maria; Fernandez, Christian; Morgan, Alejandra; Diaz, Catalina; Morales, Diego; Gomez, Alvaro; Silva, Alonso; Briceno, Fernanda; Cerda, Oscar; Caceres, Monica] Univ Chile, Inst Biomed Sci, Program Mol & Cell Biol, Fac Med, Santiago, Chile. [Jana, Fabian] Univ Aysen, Coyhaique, Chile. [Oyarzun, Alejandro] Univ Finis Terrae, Fac Dent, Santiago, Chile. [Maldonado, Felipe] Univ Chile, Hosp Clin, Dept Anesthesia, Fac Med, Santiago, Chile. [Cerda, Oscar; Caceres, Monica] Millennium Nucleus Ion Channels Associated Dis Mi, Santiago, Chile. [Smith, Patricio C.] Pontificia Univ Catolica Chile, Sch Dent, Fac Med, Santiago, Chile.
Caceres, M (reprint author), Univ Chile, Inst Biomed Sci, Program Mol & Cell Biol, Fac Med, Santiago, Chile.; Caceres, M (reprint author), Millennium Nucleus Ion Channels Associated Dis Mi, Santiago, Chile.
monicacaceres@med.uchile.cl";Aged blood factors decrease cellular responses associated with delayed gingival wound repair;Plos One;2017;1932-6203;WOS:000410449500016;"ISI Document Delivery No.: FG6AR
Times Cited: 0
Cited Reference Count: 33
Paz Saldias, Maria Fernandez, Christian Morgan, Alejandra Diaz, Catalina Morales, Diego Jana, Fabian Gomez, Alvaro Silva, Alonso Briceno, Fernanda Oyarzun, Alejandro Maldonado, Felipe Cerda, Oscar Smith, Patricio C. Caceres, Monica
National Fund for Science and Technology (Fondecyt) Grant [11140064]; Universidad de Chile [UINICIA 44051]; Fondecyt Grant [1160518]
This work was supported by National Fund for Science and Technology (Fondecyt) Grant 11140064 (MC), UINICIA 44051 Grant from Universidad de Chile (MC) and Fondecyt Grant 1160518 (OC).; The present study was funded by a grant from the National Fund for Science and Technology (Fondecyt) Grant 11140064 (MC), Grant from Universidad de Chile UINICIA 44051 (MC) and Fondecyt Grant 1160518 (OC). The authors have stated explicitly that there are no conflicts of interest in connection with this article.
Public library science
San francisco";Article;"e0184189
10.1371/journal.pone.0184189";2017;UAYSEN
Journal Article;;"[Paz Saldias, Maria; Fernandez, Christian; Morgan, Alejandra; Diaz, Catalina; Morales, Diego; Gomez, Alvaro; Silva, Alonso; Briceno, Fernanda; Cerda, Oscar; Caceres, Monica] Univ Chile, Inst Biomed Sci, Program Mol & Cell Biol, Fac Med, Santiago, Chile. [Jana, Fabian] Univ Aysen, Coyhaique, Chile. [Oyarzun, Alejandro] Univ Finis Terrae, Fac Dent, Santiago, Chile. [Maldonado, Felipe] Univ Chile, Hosp Clin, Dept Anesthesia, Fac Med, Santiago, Chile. [Cerda, Oscar; Caceres, Monica] Millennium Nucleus Ion Channels Associated Dis Mi, Santiago, Chile. [Smith, Patricio C.] Pontificia Univ Catolica Chile, Sch Dent, Fac Med, Santiago, Chile.
Caceres, M (reprint author), Univ Chile, Inst Biomed Sci, Program Mol & Cell Biol, Fac Med, Santiago, Chile.; Caceres, M (reprint author), Millennium Nucleus Ion Channels Associated Dis Mi, Santiago, Chile.
monicacaceres@med.uchile.cl";Aged blood factors decrease cellular responses associated with delayed gingival wound repair;Plos One;2017;1932-6203;WOS:000410449500016;"ISI Document Delivery No.: FG6AR
Times Cited: 0
Cited Reference Count: 33
Paz Saldias, Maria Fernandez, Christian Morgan, Alejandra Diaz, Catalina Morales, Diego Jana, Fabian Gomez, Alvaro Silva, Alonso Briceno, Fernanda Oyarzun, Alejandro Maldonado, Felipe Cerda, Oscar Smith, Patricio C. Caceres, Monica
National Fund for Science and Technology (Fondecyt) Grant [11140064]; Universidad de Chile [UINICIA 44051]; Fondecyt Grant [1160518]
This work was supported by National Fund for Science and Technology (Fondecyt) Grant 11140064 (MC), UINICIA 44051 Grant from Universidad de Chile (MC) and Fondecyt Grant 1160518 (OC).; The present study was funded by a grant from the National Fund for Science and Technology (Fondecyt) Grant 11140064 (MC), Grant from Universidad de Chile UINICIA 44051 (MC) and Fondecyt Grant 1160518 (OC). The authors have stated explicitly that there are no conflicts of interest in connection with this article.
Public library science
San francisco";Article;"e0184189
10.1371/journal.pone.0184189";2017;UAYSEN
Journal Article;;"[Paz Saldias, Maria; Fernandez, Christian; Morgan, Alejandra; Diaz, Catalina; Morales, Diego; Gomez, Alvaro; Silva, Alonso; Briceno, Fernanda; Cerda, Oscar; Caceres, Monica] Univ Chile, Inst Biomed Sci, Program Mol & Cell Biol, Fac Med, Santiago, Chile. [Jana, Fabian] Univ Aysen, Coyhaique, Chile. [Oyarzun, Alejandro] Univ Finis Terrae, Fac Dent, Santiago, Chile. [Maldonado, Felipe] Univ Chile, Hosp Clin, Dept Anesthesia, Fac Med, Santiago, Chile. [Cerda, Oscar; Caceres, Monica] Millennium Nucleus Ion Channels Associated Dis Mi, Santiago, Chile. [Smith, Patricio C.] Pontificia Univ Catolica Chile, Sch Dent, Fac Med, Santiago, Chile.
Caceres, M (reprint author), Univ Chile, Inst Biomed Sci, Program Mol & Cell Biol, Fac Med, Santiago, Chile.; Caceres, M (reprint author), Millennium Nucleus Ion Channels Associated Dis Mi, Santiago, Chile.
monicacaceres@med.uchile.cl";Aged blood factors decrease cellular responses associated with delayed gingival wound repair;Plos One;2017;1932-6203;WOS:000410449500016;"ISI Document Delivery No.: FG6AR
Times Cited: 0
Cited Reference Count: 33
Paz Saldias, Maria Fernandez, Christian Morgan, Alejandra Diaz, Catalina Morales, Diego Jana, Fabian Gomez, Alvaro Silva, Alonso Briceno, Fernanda Oyarzun, Alejandro Maldonado, Felipe Cerda, Oscar Smith, Patricio C. Caceres, Monica
National Fund for Science and Technology (Fondecyt) Grant [11140064]; Universidad de Chile [UINICIA 44051]; Fondecyt Grant [1160518]
This work was supported by National Fund for Science and Technology (Fondecyt) Grant 11140064 (MC), UINICIA 44051 Grant from Universidad de Chile (MC) and Fondecyt Grant 1160518 (OC).; The present study was funded by a grant from the National Fund for Science and Technology (Fondecyt) Grant 11140064 (MC), Grant from Universidad de Chile UINICIA 44051 (MC) and Fondecyt Grant 1160518 (OC). The authors have stated explicitly that there are no conflicts of interest in connection with this article.
Public library science
San francisco";Article;"e0184189
10.1371/journal.pone.0184189";2017;UAYSEN
Journal Article;;"[Paz Saldias, Maria; Fernandez, Christian; Morgan, Alejandra; Diaz, Catalina; Morales, Diego; Gomez, Alvaro; Silva, Alonso; Briceno, Fernanda; Cerda, Oscar; Caceres, Monica] Univ Chile, Inst Biomed Sci, Program Mol & Cell Biol, Fac Med, Santiago, Chile. [Jana, Fabian] Univ Aysen, Coyhaique, Chile. [Oyarzun, Alejandro] Univ Finis Terrae, Fac Dent, Santiago, Chile. [Maldonado, Felipe] Univ Chile, Hosp Clin, Dept Anesthesia, Fac Med, Santiago, Chile. [Cerda, Oscar; Caceres, Monica] Millennium Nucleus Ion Channels Associated Dis Mi, Santiago, Chile. [Smith, Patricio C.] Pontificia Univ Catolica Chile, Sch Dent, Fac Med, Santiago, Chile.
Caceres, M (reprint author), Univ Chile, Inst Biomed Sci, Program Mol & Cell Biol, Fac Med, Santiago, Chile.; Caceres, M (reprint author), Millennium Nucleus Ion Channels Associated Dis Mi, Santiago, Chile.
monicacaceres@med.uchile.cl";Aged blood factors decrease cellular responses associated with delayed gingival wound repair;Plos One;2017;1932-6203;WOS:000410449500016;"ISI Document Delivery No.: FG6AR
Times Cited: 0
Cited Reference Count: 33
Paz Saldias, Maria Fernandez, Christian Morgan, Alejandra Diaz, Catalina Morales, Diego Jana, Fabian Gomez, Alvaro Silva, Alonso Briceno, Fernanda Oyarzun, Alejandro Maldonado, Felipe Cerda, Oscar Smith, Patricio C. Caceres, Monica
National Fund for Science and Technology (Fondecyt) Grant [11140064]; Universidad de Chile [UINICIA 44051]; Fondecyt Grant [1160518]
This work was supported by National Fund for Science and Technology (Fondecyt) Grant 11140064 (MC), UINICIA 44051 Grant from Universidad de Chile (MC) and Fondecyt Grant 1160518 (OC).; The present study was funded by a grant from the National Fund for Science and Technology (Fondecyt) Grant 11140064 (MC), Grant from Universidad de Chile UINICIA 44051 (MC) and Fondecyt Grant 1160518 (OC). The authors have stated explicitly that there are no conflicts of interest in connection with this article.
Public library science
San francisco";Article;"e0184189
10.1371/journal.pone.0184189";2017;UAYSEN
Journal Article;;"[Paz Saldias, Maria; Fernandez, Christian; Morgan, Alejandra; Diaz, Catalina; Morales, Diego; Gomez, Alvaro; Silva, Alonso; Briceno, Fernanda; Cerda, Oscar; Caceres, Monica] Univ Chile, Inst Biomed Sci, Program Mol & Cell Biol, Fac Med, Santiago, Chile. [Jana, Fabian] Univ Aysen, Coyhaique, Chile. [Oyarzun, Alejandro] Univ Finis Terrae, Fac Dent, Santiago, Chile. [Maldonado, Felipe] Univ Chile, Hosp Clin, Dept Anesthesia, Fac Med, Santiago, Chile. [Cerda, Oscar; Caceres, Monica] Millennium Nucleus Ion Channels Associated Dis Mi, Santiago, Chile. [Smith, Patricio C.] Pontificia Univ Catolica Chile, Sch Dent, Fac Med, Santiago, Chile.
Caceres, M (reprint author), Univ Chile, Inst Biomed Sci, Program Mol & Cell Biol, Fac Med, Santiago, Chile.; Caceres, M (reprint author), Millennium Nucleus Ion Channels Associated Dis Mi, Santiago, Chile.
monicacaceres@med.uchile.cl";Aged blood factors decrease cellular responses associated with delayed gingival wound repair;Plos One;2017;1932-6203;WOS:000410449500016;"ISI Document Delivery No.: FG6AR
Times Cited: 0
Cited Reference Count: 33
Paz Saldias, Maria Fernandez, Christian Morgan, Alejandra Diaz, Catalina Morales, Diego Jana, Fabian Gomez, Alvaro Silva, Alonso Briceno, Fernanda Oyarzun, Alejandro Maldonado, Felipe Cerda, Oscar Smith, Patricio C. Caceres, Monica
National Fund for Science and Technology (Fondecyt) Grant [11140064]; Universidad de Chile [UINICIA 44051]; Fondecyt Grant [1160518]
This work was supported by National Fund for Science and Technology (Fondecyt) Grant 11140064 (MC), UINICIA 44051 Grant from Universidad de Chile (MC) and Fondecyt Grant 1160518 (OC).; The present study was funded by a grant from the National Fund for Science and Technology (Fondecyt) Grant 11140064 (MC), Grant from Universidad de Chile UINICIA 44051 (MC) and Fondecyt Grant 1160518 (OC). The authors have stated explicitly that there are no conflicts of interest in connection with this article.
Public library science
San francisco";Article;"e0184189
10.1371/journal.pone.0184189";2017;UAYSEN
Journal Article;;"[Paz Saldias, Maria; Fernandez, Christian; Morgan, Alejandra; Diaz, Catalina; Morales, Diego; Gomez, Alvaro; Silva, Alonso; Briceno, Fernanda; Cerda, Oscar; Caceres, Monica] Univ Chile, Inst Biomed Sci, Program Mol & Cell Biol, Fac Med, Santiago, Chile. [Jana, Fabian] Univ Aysen, Coyhaique, Chile. [Oyarzun, Alejandro] Univ Finis Terrae, Fac Dent, Santiago, Chile. [Maldonado, Felipe] Univ Chile, Hosp Clin, Dept Anesthesia, Fac Med, Santiago, Chile. [Cerda, Oscar; Caceres, Monica] Millennium Nucleus Ion Channels Associated Dis Mi, Santiago, Chile. [Smith, Patricio C.] Pontificia Univ Catolica Chile, Sch Dent, Fac Med, Santiago, Chile.
Caceres, M (reprint author), Univ Chile, Inst Biomed Sci, Program Mol & Cell Biol, Fac Med, Santiago, Chile.; Caceres, M (reprint author), Millennium Nucleus Ion Channels Associated Dis Mi, Santiago, Chile.
monicacaceres@med.uchile.cl";Aged blood factors decrease cellular responses associated with delayed gingival wound repair;Plos One;2017;1932-6203;WOS:000410449500016;"ISI Document Delivery No.: FG6AR
Times Cited: 0
Cited Reference Count: 33
Paz Saldias, Maria Fernandez, Christian Morgan, Alejandra Diaz, Catalina Morales, Diego Jana, Fabian Gomez, Alvaro Silva, Alonso Briceno, Fernanda Oyarzun, Alejandro Maldonado, Felipe Cerda, Oscar Smith, Patricio C. Caceres, Monica
National Fund for Science and Technology (Fondecyt) Grant [11140064]; Universidad de Chile [UINICIA 44051]; Fondecyt Grant [1160518]
This work was supported by National Fund for Science and Technology (Fondecyt) Grant 11140064 (MC), UINICIA 44051 Grant from Universidad de Chile (MC) and Fondecyt Grant 1160518 (OC).; The present study was funded by a grant from the National Fund for Science and Technology (Fondecyt) Grant 11140064 (MC), Grant from Universidad de Chile UINICIA 44051 (MC) and Fondecyt Grant 1160518 (OC). The authors have stated explicitly that there are no conflicts of interest in connection with this article.
Public library science
San francisco";Article;"e0184189
10.1371/journal.pone.0184189";2017;UAYSEN
Journal Article;;"[Paz Saldias, Maria; Fernandez, Christian; Morgan, Alejandra; Diaz, Catalina; Morales, Diego; Gomez, Alvaro; Silva, Alonso; Briceno, Fernanda; Cerda, Oscar; Caceres, Monica] Univ Chile, Inst Biomed Sci, Program Mol & Cell Biol, Fac Med, Santiago, Chile. [Jana, Fabian] Univ Aysen, Coyhaique, Chile. [Oyarzun, Alejandro] Univ Finis Terrae, Fac Dent, Santiago, Chile. [Maldonado, Felipe] Univ Chile, Hosp Clin, Dept Anesthesia, Fac Med, Santiago, Chile. [Cerda, Oscar; Caceres, Monica] Millennium Nucleus Ion Channels Associated Dis Mi, Santiago, Chile. [Smith, Patricio C.] Pontificia Univ Catolica Chile, Sch Dent, Fac Med, Santiago, Chile.
Caceres, M (reprint author), Univ Chile, Inst Biomed Sci, Program Mol & Cell Biol, Fac Med, Santiago, Chile.; Caceres, M (reprint author), Millennium Nucleus Ion Channels Associated Dis Mi, Santiago, Chile.
monicacaceres@med.uchile.cl";Aged blood factors decrease cellular responses associated with delayed gingival wound repair;Plos One;2017;1932-6203;WOS:000410449500016;"ISI Document Delivery No.: FG6AR
Times Cited: 0
Cited Reference Count: 33
Paz Saldias, Maria Fernandez, Christian Morgan, Alejandra Diaz, Catalina Morales, Diego Jana, Fabian Gomez, Alvaro Silva, Alonso Briceno, Fernanda Oyarzun, Alejandro Maldonado, Felipe Cerda, Oscar Smith, Patricio C. Caceres, Monica
National Fund for Science and Technology (Fondecyt) Grant [11140064]; Universidad de Chile [UINICIA 44051]; Fondecyt Grant [1160518]
This work was supported by National Fund for Science and Technology (Fondecyt) Grant 11140064 (MC), UINICIA 44051 Grant from Universidad de Chile (MC) and Fondecyt Grant 1160518 (OC).; The present study was funded by a grant from the National Fund for Science and Technology (Fondecyt) Grant 11140064 (MC), Grant from Universidad de Chile UINICIA 44051 (MC) and Fondecyt Grant 1160518 (OC). The authors have stated explicitly that there are no conflicts of interest in connection with this article.
Public library science
San francisco";Article;"e0184189
10.1371/journal.pone.0184189";2017;UAYSEN
